id,created_at,name,numSlic,alphaSlic,street,city,state,zip,instructions
193,2023-11-15 05:22:30.687119+00,Gunn,19GU,GUNPA,9611 West Hills Ct,Kutztown,PA,19530,
194,2023-11-15 05:22:30.687119+00,Snapon,19OS,SNPPA,265 S Church St,Robesonia,PA,19551,
195,2023-11-15 05:22:30.687119+00,Revolve,19RLV,RLVPA,323 Logistics Dr,Shoemakersville,PA,19555,
196,2023-11-15 05:22:30.687119+00,Superdry,19SUD,SUDPA,9750 Commerce Cir,Kutztown,PA,19530,
197,2023-11-15 05:22:30.687119+00,Amazon TEN1,19TEN,TEN1,1002 Patriot Pkwy,Reading,PA,19605,
198,2023-11-15 05:22:30.687119+00,Consolidated Cigars,71CC,CCIPA,1911 Spillman Dr,Bethlehem,PA,18015,
199,2023-11-15 05:22:30.687119+00,Coyote Home Depot,C11HD,C11HD,8500 Willard Dr,Breiningsville,PA,18031,
200,2023-11-15 05:22:30.687119+00,Coytote Sam Adams,C11SA,C11SA,7880 Penn Dr,Breiningsville,PA,18031,
201,2023-11-15 05:22:30.687119+00,Coyote Coca-Cola,C15CO,C15CO,2150 Industrial Dr,Bethlehem,PA,18017,
56,2023-11-15 05:22:30.687119+00,Custom Filters Direct,18CFD,CFDPA,939 Main St,Vandling,PA,18421,
